Coastal Counter Stools
Name,URL,Image,Availability,Shop Price (IMAP with Shipping),Description,Dimensions,Weight,Colors
Tojo Cane Counter Stool W/ Cushion,https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1007-safavieh/358208-tojo-cane-counter-stool-w-cushion/68c20321cc509ef8e38c7a85faf451b6.jpg?fm=jpg&tr=w-1024,Available for Order,$384.53,"Bring breezy tropical flair to the kitchen island or breakfast nook with this counter Stool. 

Natural cane frame emanates soothing seaside vibes while its soft white cushion ensures comfortably peaceful dining.

Weight Capacity: 275 lbs.
Country: Indonesia
Seat Dimensions (W*D*H): 18.11"" x 22.64"" x 23.62""
Assembly Required: No","38.60""H x 22.60""W x 18.10""D",7.64lbs,
"Avignon Paris Bistro Counter Stool, White/ Gray",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1027-new-pacific-direct/337073-avignon-paris-bistro-counter-stool-white-gray/d86384351cf44e19a21fe69053a3b979.jpg?fm=jpg&tr=w-1024,Available for Order,$396.74,"Croissant? Café au lait? Mais, oui! Enjoy the charms and comforts of a Parisian cafe with the Avignon Paris bistro counter stool. The frame is bent rattan wrapped in an all-weather, family friendly weave that stands up to everyday use. Fully assembled.","41.50""H x 23""W x 19""D",26lbs,White/Gray
"Avignon Paris Bistro Counter Stool, Black *New*",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1027-new-pacific-direct/337083-avignon-paris-bistro-counter-stool-black-new/2df50fbf94ae6998a868115bd91b84ba.jpg?fm=jpg&tr=w-1024,Available for Order,$409.22,"Croissant? Café au lait? Mais, oui! Enjoy the charms and comforts of a Parisian cafe with the Avignon Paris bistro counter stool. The frame is bent rattan wrapped in an all-weather, family friendly weave that stands up to everyday use. Fully assembled. Available in Black and White/Gray.","41.50""H x 23""W x 19""D",26lbs,Black
"Hampton Counter Stool, Natural",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/vendors/bungalow-5/hampton-counter-stool-natural/85fd8fc17b53debea82826231d19c987.jpg?fm=jpg&tr=w-1024,Available for Order,$881.45,"Hampton Chairs and Barstools are handcrafted of solid oak in a modernized version of Thomas Chippendale’s Chinoiserie style. The pretty back features carved faux bamboo fretwork. Other great details include faux bamboo frames, legs that nip out in the front and four decorative stretchers. Simple drop-in linen upholstery recovers easily and beachy, limed oak finishes bring nature indoors.

17w x 21d x 40h
Limed Oak Finish
Linen Drop-In Cushion in Natural (Photo is for reference only, actual color can vary widely from lot to lot)
Depending on Repeat 1/2 to 1 Yard of Fabric to Upholster","40""H x 17""W x 21""D",,
"Hampton Counter Stool, Gray",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/vendors/bungalow-5/hampton-counter-stool-gray/207cc97a4637bd2baa96f79d56e56b8b.jpg?fm=jpg&tr=w-1024,Available for Order,$881.45,"Hampton Chairs and Barstools are handcrafted of solid oak in a modernized version of Thomas Chippendale’s Chinoiserie style. The pretty back features carved faux bamboo fretwork. Other great details include faux bamboo frames, legs that nip out in the front and four decorative stretchers. Simple drop-in linen upholstery recovers easily and beachy, limed oak finishes bring nature indoors.

17w x 21d x 40.5h
Limed Oak Finish
Linen Drop-In Cushion in Natural (Photo is for reference only, actual color can vary widely from lot to lot)
Depending on Repeat 1/2 to 1 Yard of Fabric to Upholster","40.50""H x 17""W x 21""D",,
"Kara Rattan Counter Stool, White",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1027-new-pacific-direct/337096-kara-rattan-counter-stool-white/c437c13320addd83a4535338d05018ce.jpg?fm=jpg&tr=w-1024,Available for Order,$422.94,"The Kara rattan collection includes this 27"" seat height counter stool. A reproduction from the original master cabinet maker featuring Chinese Chippendale style design inspired by pagoda motifs with visually appealing diagonal lines. Fully assembled, available in Paloma Brown, White or Gray. Removable seat cushion.","42""H x 22""W x 20""D",19lbs,White
"Kara Rattan Counter Stool, Gray",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1027-new-pacific-direct/337094-kara-rattan-counter-stool-gray/f90b7d05b6b1bf2792571c69514b0290.jpg?fm=jpg&tr=w-1024,Available for Order,$422.94,"The Kara rattan collection includes this 27"" seat height counter stool. A reproduction from the original master cabinet maker featuring Chinese Chippendale style design inspired by pagoda motifs with visually appealing diagonal lines. Fully assembled, available in Paloma Brown, White or Gray. Removable seat cushion.","42""H x 22""W x 20""D",19lbs,Gray
Paolo Stool Hyacinth Rtn Counter,https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/1-four-hands/360529-paolo-stool-hyacinth-rtn-counter/9997f1f5300f1c540170aa9dec3cbcf2.jpg?fm=jpg&tr=w-1024,Available for Order,"$1,433.39",,"38""H x 25""W x 23""D",41.01lbs,
Bran Counter Stool,https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/18-noir/333273-bran-counter-stool/4f7385aa9ef98115ba5dc1898a2e6e6c.jpg?fm=jpg&tr=w-1024,Available for Order,"$1,241.55","A traditional, tapered leg counterstool pairs teak and classic twisted multi-ply Danish cording for a versatile basic","37.50""H x 18""W x 20""D",16lbs,Teak
"Zola Counter Stool, Natural",https://costierodesignanddecor.com/coastal-bar-stools/,https://images.onsidedoor.com/images/vendors/18-noir/333274-zola-counter-stool-natural/42beb4d6befb8ab6810b2d7872477ce3.jpg?fm=jpg&tr=w-1024,Available for Order,$959.79,Counter Stool in a natural finish,"38""H x 21""W x 18.50""D",10lbs,Natural
